example_id                                                     | status | run_time        |
-------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/api/registrations_controller_spec.rb[1:1:1] | passed | 0.36534 seconds |
./spec/controllers/api/registrations_controller_spec.rb[1:1:2] | passed | 0.01858 seconds |
./spec/controllers/api/registrations_controller_spec.rb[1:1:3] | passed | 0.01622 seconds |
./spec/controllers/api/registrations_controller_spec.rb[1:2:1] | passed | 0.01644 seconds |
./spec/controllers/api/sessions_controller_spec.rb[1:1:1]      | passed | 0.01906 seconds |
./spec/controllers/api/sessions_controller_spec.rb[1:1:2]      | passed | 0.01897 seconds |
./spec/controllers/api/sessions_controller_spec.rb[1:2:1]      | passed | 0.01556 seconds |
./spec/controllers/api/sessions_controller_spec.rb[1:3:1]      | passed | 0.00472 seconds |
./spec/controllers/api/users_controller_spec.rb[1:1:1]         | passed | 0.02921 seconds |
./spec/controllers/api/users_controller_spec.rb[1:1:2]         | passed | 0.02517 seconds |
./spec/controllers/api/users_controller_spec.rb[1:2:1]         | passed | 0.024 seconds   |
./spec/controllers/api/users_controller_spec.rb[1:3:1]         | passed | 0.013 seconds   |
